component,variable,marginal_cost,marginal_cost_quadratic,spill_cost,marginal_cost_storage,nominal,handle_separately,reserve_cost,reserve_cost_quadratic
Generator,p,True,True,False,False,False,False,False,False
Generator,r,False,False,False,False,False,False,True,True
Generator,status,False,False,False,False,False,True,False,False
Generator,start_up,False,False,False,False,False,True,False,False
Generator,shut_down,False,False,False,False,False,True,False,False
Generator,r_nom,False,False,False,False,True,False,False,False
Generator,p_nom,False,False,False,False,True,False,False,False
Generator,n_mod,False,False,False,False,False,True,False,False
Line,s,False,False,False,False,False,False,False,False
Line,s_nom,False,False,False,False,True,False,False,False
Line,n_mod,False,False,False,False,False,True,False,False
Transformer,s,False,False,False,False,False,False,False,False
Transformer,s_nom,False,False,False,False,True,False,False,False
Transformer,n_mod,False,False,False,False,False,True,False,False
Link,p,True,True,False,False,False,False,False,False
Link,status,False,False,False,False,False,True,False,False
Link,start_up,False,False,False,False,False,True,False,False
Link,shut_down,False,False,False,False,False,True,False,False
Link,p_nom,False,False,False,False,True,False,False,False
Link,n_mod,False,False,False,False,False,True,False,False
Store,e,False,False,False,True,False,False,False,False
Store,p,True,True,False,False,False,True,False,False
Store,e_nom,False,False,False,False,True,False,False,False
Store,n_mod,False,False,False,False,False,True,False,False
StorageUnit,p_dispatch,True,True,False,False,False,False,False,False
StorageUnit,p_store,False,False,False,False,False,False,False,False
StorageUnit,state_of_charge,False,False,False,True,False,False,False,False
StorageUnit,p_nom,False,False,False,False,True,False,False,False
StorageUnit,n_mod,False,False,False,False,False,True,False,False
StorageUnit,spill,False,False,True,False,False,True,False,False
